Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_09,Project_909,Manager,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_908,Developer,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_911,Developer,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_910,Analyst,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_905,Developer,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_904,Analyst,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_907,Analyst,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_906,Manager,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_912,Manager,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_918,Manager,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_917,Developer,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_920,Developer,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_919,Analyst,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_914,Developer,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_913,Analyst,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_916,Analyst,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_915,Manager,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Project_006,Analyst,,,,,,,,,,,,,,,,,,,,35,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_006,Developer,,,,,,,,,,,,,,,,,,,,30,35,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_006,Manager,,,,,,,,,,,,,,,,,,,,15,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_006,Developer,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_006,Analyst,,,,,,,,,,,,,,,,,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_006,Manager,,,,,,,,,,,,,,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Project_002,Analyst,,,,,,,,,,,,,,,,,,,,30,40,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_002,Developer,,,,,,,,,,,,,,,,,,,,20,15,40,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_002,Manager,,,,,,,,,,,,,,,,,,,,40,15,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_002,Manager,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_003,Developer,,,,,,,,,,,,,,,,,,,,20,30,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
