Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_03,Core_01,Manager,,,,,,,,,,,,,,,,40,40,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Core_01,Developer,,,,,,,,,,,,,,,,40,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Core_01,Analyst,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Core_02,Manager,,,,,,,,,,,,,,,,,,,,40,15,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Core_02,Developer,,,,,,,,,,,,,,,,,,,,20,15,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Core_02,Analyst,,,,,,,,,,,,,,,,,,,,30,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Core_03,Manager,,,,,,,,40,30,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Core_03,Developer,,,,,,,,20,30,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Core_03,Analyst,,,,,,,,40,40,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Core_04,Manager,,,,,,,,,,,,,,,,,,,,,,,,25,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Core_04,Developer,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Core_04,Analyst,,,,,,,,,,,,,,,,,,,,,,,,40,35,40,10,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Core_05,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,25,40,,,,,,,,,,,,,,,,,,,,,
Person_02,Core_05,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,40,40,,,,,,,,,,,,,,,,,,,,,
Person_01,Core_05,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,10,15,35,,,,,,,,,,,,,,,,,,,,,
Person_03,Core_06,Manager,,,,,,,,,,,,15,40,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Core_06,Developer,,,,,,,,,,,,30,35,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Core_06,Analyst,,,,,,,,,,,,35,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Bench_Person_04,Analyst,,,,,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Bench_Person_05,Developer,,,,,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Bench_Person_06,Manager,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Bench_Person_07,Analyst,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Bench_Person_08,Developer,,,,,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Bench_Person_09,Manager,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Bench_Person_10,Analyst,,,,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Bench_Person_11,Developer,,,,,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Bench_Person_12,Manager,,,,,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Bench_Person_13,Analyst,,,,,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Bench_Person_14,Developer,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Bench_Person_15,Manager,,,,,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Bench_Person_16,Analyst,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Bench_Person_17,Developer,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Bench_Person_18,Manager,,,,,25,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Bench_Person_19,Analyst,,,,,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Bench_Person_20,Developer,,,,,10,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
