Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_18,Project_001,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,20,40,20,,,,,,,,,,,,,,,,,,
Person_17,Project_001,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,40,40,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_002,Developer,,,,40,20,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_002,Analyst,,,,,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_002,Analyst,,,,,,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_002,Developer,,,,,,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_003,Developer,,,,,,,,,,,,,,,40,40,35,35,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_003,Developer,,,,,,,,,,,,,,,,10,40,25,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_003,Manager,,,,,,,,,,,,,,,,20,40,15,25,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_003,Manager,,,,,,,,,,,,,,,,40,25,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_004,Developer,,,,,,,,,,,,,,,,,,,25,40,40,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_004,Developer,,,,,,,,,,,,,,,,,,,15,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_004,Analyst,,,,,,,,,,,,,,,,,,,,,,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_005,Manager,,,,,,,,,,,,,40,10,40,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_005,Analyst,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_005,Developer,,,,,,,,,,,,,,15,15,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_005,Manager,,,,,,,,,,,,,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_006,Manager,,,,,,,,40,40,15,40,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_006,Analyst,,,,,,,,25,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_006,Manager,,,,,,,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_006,Developer,,,,,,,,,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_007,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,40,40,30,40,20,30,25,35,,,,,,,,,,
Person_17,Project_007,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,
Person_09,Project_007,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,40,40,15,40,,,,,,,,,,,
Person_09,Project_008,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,15,30,40,15,30,,,,,,,,,,,,,,,,,,,
Person_17,Project_008,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,20,,,,,,,,,,,,,,,,,,,,
Person_18,Project_009,Manager,,,,,,,,,,,,,,,,,,,,25,10,40,10,25,10,35,10,40,30,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_009,Developer,,,,,,,,,,,,,,,,,,,,,,,15,10,40,40,15,25,40,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_009,Developer,,,,,,,,,,,,,,,,,,,,,,,40,15,40,25,35,40,40,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_009,Developer,,,,,,,,,,,,,,,,,,,,40,,30,20,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_009,Developer,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_009,Developer,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_010,Developer,,,,,,,15,35,25,25,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_010,Analyst,,,,,,,,,,,10,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_011,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,40,20,30,40,40,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_011,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_011,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,30,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_011,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,15,40,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_012,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,40,25,40,,,,,,,,,,,,,,,,
Person_07,Project_012,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,40,,,,,,,,,,,,,,,,
Person_17,Project_012,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,20,15,,,,,,,,,,,,,,,,,
Person_18,Project_012,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,25,15,,,,,,,,,,,,,,,,
Person_12,Project_013,Manager,,,,,,,,,,,,,,,,,,10,40,40,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_013,Analyst,,,,,,,,,,,,,,,,,,,,,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_013,Analyst,,,,,,,,,,,,,,,,,,,,40,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_013,Developer,,,,,,,,,,,,,,,,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_014,Manager,,,,,,,,,,,,,,,,,,40,40,20,25,35,25,40,30,10,40,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_014,Manager,,,,,,,,,,,,,,,,,,,,,15,35,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_014,Developer,,,,,,,,,,,,,,,,,,35,40,30,30,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_014,Analyst,,,,,,,,,,,,,,,,,,,,,40,40,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_015,Manager,,,,,,,,,,,,,,15,25,40,30,30,25,40,25,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_015,Developer,,,,,,,,,,,,,,,40,40,,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_015,Analyst,,,,,,,,,,,,,,30,35,10,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_015,Manager,,,,,,,,,,,,,,,,,,25,20,10,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_015,Developer,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_016,Manager,,,,,,,,,,,,,40,25,10,30,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_016,Developer,,,,,,,,,,,,,,,,40,15,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_016,Developer,,,,,,,,,,,,,,30,30,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_016,Analyst,,,,,,,,,,,,,,,25,35,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_017,Developer,,,,,,,,,,,,,,,,,30,40,40,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
