Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_15,Project_001,Manager,,,,,,,,,,,,,,,,,,20,40,10,40,40,40,40,40,20,20,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_001,Analyst,,,,,,,,,,,,,,,,,,,30,15,20,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_001,Manager,,,,,,,,,,,,,,,,,,,25,30,40,25,40,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_001,Developer,,,,,,,,,,,,,,,,,,,,40,40,40,10,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_001,Developer,,,,,,,,,,,,,,,,,,,25,40,40,40,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_002,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,10,40,30,20,40,10,40,35,40,,,,,,,,,,,,,,,,,,
Person_19,Project_002,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,30,10,40,35,,,,,,,,,,,,,,,,,,,
Person_04,Project_002,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,40,40,20,,,,,,,,,,,,,,,,,,,
Person_17,Project_002,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,10,40,,,,,,,,,,,,,,,,,,
Person_09,Project_003,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,40,10,25,40,25,30,,,,,,,,,,,,,,,,
Person_02,Project_003,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,20,15,40,,,,,,,,,,,,,,,,,
Person_18,Project_003,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,40,40,40,10,,,,,,,,,,,,,,,,
Person_14,Project_004,Developer,,,,,,,,,,,,,,,,,40,25,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_004,Developer,,,,,,,,,,,,,,,,,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_004,Manager,,,,,,,,,,,,,,,,,,,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_004,Developer,,,,,,,,,,,,,,,,,25,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_004,Developer,,,,,,,,,,,,,,,,,,30,30,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_005,Developer,,,,,,,,,,,,,,,,,,,15,30,40,40,40,20,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_005,Manager,,,,,,,,,,,,,,,,,,,40,10,30,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_005,Developer,,,,,,,,,,,,,,,,,,,,,,,,40,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_005,Developer,,,,,,,,,,,,,,,,,,,,,,20,10,15,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_005,Analyst,,,,,,,,,,,,,,,,,,,40,40,40,30,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_006,Developer,,,,,,25,40,25,15,40,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_006,Analyst,,,,,,25,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_006,Developer,,,,,,,20,40,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_007,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,15,40,40,40,40,10,30,40,,,,,,,,,,,,,
Person_19,Project_007,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,
Person_16,Project_007,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,25,10,15,35,10,,,,,,,,,,,,,,
Person_15,Project_008,Manager,,,,,,,,,,,,,,,,,,,,,35,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_008,Developer,,,,,,,,,,,,,,,,,,,,,,,35,25,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_008,Analyst,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_009,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,20,40,40,40,30,10,25,10,25,20,,,,,,,,,
Person_07,Project_009,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,40,15,25,40,,,,,,,,,,,,
Person_11,Project_009,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,40,35,35,40,40,,,,,,,,,,
Person_08,Project_010,Developer,,,,,,,,,,,,,,,,,,,,,,,,,40,40,10,40,35,40,40,15,,,,,,,,,,,,,,,,,,,,
Person_01,Project_010,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,35,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_010,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,10,40,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_010,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,25,40,10,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_011,Manager,,,,,,,,,,,,,,,,,,10,10,20,25,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_011,Developer,,,,,,,,,,,,,,,,,,40,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_011,Manager,,,,,,,,,,,,,,,,,,40,40,40,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_012,Manager,,,,,,,,,,,,,10,40,40,40,30,35,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_012,Analyst,,,,,,,,,,,,,40,20,15,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_012,Developer,,,,,,,,,,,,,,,40,40,40,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_012,Developer,,,,,,,,,,,,,40,40,40,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_012,Developer,,,,,,,,,,,,,,,15,35,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_013,Developer,,,,,25,15,40,40,30,35,20,40,35,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_013,Analyst,,,,,,,,,25,40,35,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_013,Manager,,,,,25,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_013,Manager,,,,,,,,40,40,40,15,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_013,Developer,,,,,,,,,,,,40,40,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_014,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,40,25,35,40,30,,,,,,,,,,,,,,,,,,,,
Person_05,Project_014,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,40,40,40,40,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_014,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,35,40,40,30,40,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_014,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,40,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_014,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,35,40,35,40,20,40,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_015,Developer,,40,40,15,35,30,40,25,35,10,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_015,Analyst,,,,,,,40,40,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_015,Developer,,,,,,10,40,10,15,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_015,Developer,,,,,,,,40,40,40,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_016,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,40,40,40,30,40,40,40,40,40,40,25,
Person_09,Project_016,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,35,10,35,15,,,,,,
Person_19,Project_016,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,25,40,10,25,,,
Person_08,Project_016,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,40,40,40,40,,,,,,
Person_02,Project_016,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,35,10,35,40,,,
Person_02,Project_017,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,30,40,10,30,40,10,,,,,,,,,,,,
Person_09,Project_017,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,40,40,40,40,30,,,,,,,,,,,,,
Person_10,Project_017,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,
Person_17,Project_018,Developer,,,,,,,,,,,,,,,,,,,,,,30,10,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_018,Manager,,,,,,,,,,,,,,,,,,,,,,30,40,10,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_018,Manager,,,,,,,,,,,,,,,,,,,,,,,,,15,10,40,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_018,Developer,,,,,,,,,,,,,,,,,,,,,,40,40,20,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_019,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,15,40,40,35,35,40,,,,,,,,,,,,,,,,,,,
Person_05,Project_019,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,
Person_02,Project_019,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,25,40,15,35,35,40,,,,,,,,,,,,,,,,,,,,
Person_06,Project_019,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,,,,,,,,,,,,,,,,,,,,
Person_02,Project_020,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,20,40,40,40,40,40,40,,,,,,,,,,,
Person_04,Project_020,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,35,15,40,40,,,,,,,,,,,,,,,,
Person_19,Project_020,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,40,40,20,40,,,,,,,,,,,,,
Person_03,Project_021,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,40,35,40,15,20,20,40,40,40,,,,,,,,,,,,,,,
Person_12,Project_021,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,
Person_14,Project_021,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,40,25,40,,,,,,,,,,,,,,,,
Person_15,Project_021,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,20,30,,,,,,,,,,,,,,,,,,,
Person_19,Project_021,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,10,40,15,40,40,,,,,,,,,,,,,,,,,
Person_14,Project_022,Developer,,,,,,,,,,,,,,,,35,40,40,40,40,25,20,35,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,
