Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Dev_11,ProjectA_01,developer,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectA_01,analyst,,,,,,,,,,,,,,,,,,,35,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectA_01,manager,,,,,,,,,,,,,,,,,,,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_02,developer,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_02,ProjectA_02,analyst,,,,,,,,,,,,,,,,,,,25,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectA_02,manager,,,,,,,,,,,,,,,,,,,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_03,developer,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectA_03,analyst,,,,,,,,,,,,,,,,,,,40,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectA_03,manager,,,,,,,,,,,,,,,,,,,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_04,developer,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_04,ProjectA_04,analyst,,,,,,,,,,,,,,,,,,,10,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectA_04,manager,,,,,,,,,,,,,,,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_05,developer,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectA_05,analyst,,,,,,,,,,,,,,,,,,,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectA_05,manager,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectA_05,analyst,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_06,developer,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_02,ProjectA_06,analyst,,,,,,,,,,,,,,,,,,,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectA_06,manager,,,,,,,,,,,,,,,,,,,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_07,developer,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectA_07,analyst,,,,,,,,,,,,,,,,,,,40,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectA_07,manager,,,,,,,,,,,,,,,,,,,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_08,developer,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_04,ProjectA_08,analyst,,,,,,,,,,,,,,,,,,,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectA_08,manager,,,,,,,,,,,,,,,,,,,35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_12,ProjectA_09,developer,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectA_09,analyst,,,,,,,,,,,,,,,,,,,30,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectA_09,manager,,,,,,,,,,,,,,,,,,,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_10,developer,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_02,ProjectA_10,analyst,,,,,,,,,,,,,,,,,,,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectA_10,manager,,,,,,,,,,,,,,,,,,,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_11,ProjectA_11,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,40,40,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectA_11,analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,,,,,,,,,,,,,,,,,,,,,
Dev_12,ProjectA_12,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,35,,,,,,,,,,,,,,,,,,,,,
Ana_04,ProjectA_12,analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,10,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_13,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,10,40,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectA_13,analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,20,,,,,,,,,,,,,,,,,,,,,
