Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Dev_01,ProjectB_W20_01,developer,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_04,ProjectB_W20_01,developer,,,,,,,,,,,,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectB_W20_01,analyst,,,,,,,,,,,,,,,,,,,30,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W20_01,manager,,,,,,,,,,,,,,,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_02,developer,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_05,ProjectB_W20_02,developer,,,,,,,,,,,,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_02,ProjectB_W20_02,analyst,,,,,,,,,,,,,,,,,,,25,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectB_W20_02,manager,,,,,,,,,,,,,,,,,,,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_03,developer,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_06,ProjectB_W20_03,developer,,,,,,,,,,,,,,,,,,,20,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectB_W20_03,analyst,,,,,,,,,,,,,,,,,,,15,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W20_03,manager,,,,,,,,,,,,,,,,,,,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_07,ProjectB_W20_04,developer,,,,,,,,,,,,,,,,,,,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_04,ProjectB_W20_04,analyst,,,,,,,,,,,,,,,,,,,10,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectB_W20_04,manager,,,,,,,,,,,,,,,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_05,developer,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_08,ProjectB_W20_05,developer,,,,,,,,,,,,,,,,,,,40,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_05,ProjectB_W20_05,analyst,,,,,,,,,,,,,,,,,,,25,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W20_05,manager,,,,,,,,,,,,,,,,,,,10,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_03,ProjectB_W20_06,developer,,,,,,,,,,,,,,,,,,,40,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectB_W20_06,analyst,,,,,,,,,,,,,,,,,,,35,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectB_W20_06,manager,,,,,,,,,,,,,,,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_04,ProjectB_W20_07,developer,,,,,,,,,,,,,,,,,,,35,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_02,ProjectB_W20_07,analyst,,,,,,,,,,,,,,,,,,,30,25,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W20_07,manager,,,,,,,,,,,,,,,,,,,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_05,ProjectB_W20_08,developer,,,,,,,,,,,,,,,,,,,40,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectB_W20_08,analyst,,,,,,,,,,,,,,,,,,,40,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
