Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_10,Project_01,developer,,,,,,,,,,,,,,,,,,,,,,,25,40,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_01,developer,,,,,,,,,,,,,,,,,,,,,,25,20,40,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_01,analyst,,,,,,,,,,,,,,,,,,,,,,20,10,40,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_01,developer,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_02,developer,,,,,,,,,,,,,,,,,,,,,,10,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_02,developer,,,,,,,,,,,,,,,,,,,,,,40,40,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Project_02,manager,,,,,,,,,,,,,,,,,,,,,,30,15,40,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_03,developer,,,40,30,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_03,developer,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_24,Project_03,analyst,,,35,25,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_04,developer,,20,35,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_04,developer,,40,10,25,10,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_04,manager,,40,40,40,35,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_05,developer,,30,20,10,40,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_05,developer,,40,40,15,20,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_21,Project_05,analyst,,40,30,40,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_06,developer,,,,,,,,,40,40,40,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_06,developer,,,,,,,,,40,40,40,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_06,analyst,,,,,,,,,40,10,35,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_07,developer,,,,,,,,40,10,40,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_07,developer,,,,,,,,30,40,25,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_07,manager,,,,,,,,40,40,10,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_08,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,35,20,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_08,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30,40,30,,,,,,,,,,,,,,,,,,,,,,
Person_21,Project_08,analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,40,35,10,30,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_09,developer,,,,,,,,15,30,20,35,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_09,developer,,,,,,,,40,40,15,40,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_09,analyst,,,,,,,,40,40,40,30,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_10,developer,,,,,,,,,,,,,,15,10,30,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_10,developer,,,,,,,,,,,,,,40,40,40,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_10,manager,,,,,,,,,,,,,,40,15,30,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_11,developer,,20,30,25,30,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_11,developer,,40,20,35,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_11,manager,,40,40,40,40,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_12,developer,,,,10,40,35,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
