Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_08,Project_01,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,35,25,,,,,,,,,,,,,,,
Person_13,Project_01,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,35,30,35,,,,,,,,,,,,,,,
Person_01,Project_01,manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,35,40,15,,,,,,,,,,,,,,,
Person_11,Project_02,developer,,,,,,25,20,15,40,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_02,developer,,,,,,20,40,15,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_02,manager,,,,,,40,20,40,40,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_03,developer,,,,,,40,40,20,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_03,developer,,,,,,40,40,35,40,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_03,manager,,,,,,40,40,15,35,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_04,developer,,40,40,40,40,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_04,developer,,40,35,40,40,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_04,analyst,,15,20,40,40,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_05,developer,,,,,,,,,,,,25,35,40,40,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_05,developer,,,,,,,,,,,,35,40,35,40,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_05,analyst,,,,,,,,,,,,25,40,35,15,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_06,developer,,,,,,,,,,,,20,25,40,15,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_06,developer,,,,,,,,,,,,40,40,35,40,15,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_06,manager,,,,,,,,,,,,40,40,20,40,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_07,developer,,,,,,40,25,40,15,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_07,developer,,,,,,15,10,25,40,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Project_07,manager,,,,,,15,40,40,40,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_08,developer,,,,,,,,,,,,,,,,,,20,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_08,developer,,,,,,,,,,,,,,,,,,40,40,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_24,Project_08,analyst,,,,,,,,,,,,,,,,,,35,40,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_09,developer,,,,,,,,,,,,,,,,,,40,40,20,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_09,developer,,,,,,,,,,,,,,,,,,40,40,40,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_09,manager,,,,,,,,,,,,,,,,,,40,40,20,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_10,developer,,,,,,,,,,,,25,40,,10,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_10,developer,,,,,,,,,,,,30,40,40,25,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_23,Project_10,analyst,,,,,,,,,,,,40,40,40,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_10,developer,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_11,developer,,,,,,,,,,,,,,,,,,,,15,15,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_11,developer,,,,,,,,,,,,,,,,,,,,35,25,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_11,manager,,,,,,,,,,,,,,,,,,,,25,20,40,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_12,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,10,,,,,,,,,,,,,,,,,,,
Person_09,Project_12,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,25,25,,,,,,,,,,,,,,,,,,,
Person_19,Project_12,analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,
Person_14,Project_13,developer,,,,,,,,,,,,,,,,,,40,10,35,35,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_13,developer,,,,,,,,,,,,,,,,,,25,35,30,15,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_13,analyst,,,,,,,,,,,,,,,,,,35,40,40,20,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_14,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,15,40,35,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_14,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_14,analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,20,40,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_15,developer,,,,,,,,,,,,,,,,,,,,20,35,,20,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_15,developer,,,,,,,,,,,,,,,,,,,,35,40,40,30,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_15,analyst,,,,,,,,,,,,,,,,,,,,40,20,20,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_15,developer,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_15,developer,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_15,developer,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_16,developer,,,,,,,,,,,,,,,,,,40,15,35,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_16,developer,,,,,,,,,,,,,,,,,,20,15,20,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_16,analyst,,,,,,,,,,,,,,,,,,35,35,,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_16,analyst,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_17,developer,,,,,,,,,,,,,,,,,,,,,,,40,40,40,20,40,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_17,developer,,,,,,,,,,,,,,,,,,,,,,,35,40,25,20,40,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_17,manager,,,,,,,,,,,,,,,,,,,,,,,40,35,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_18,developer,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,15,10,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_18,developer,,,,,,,,,,,,,,,,,,,,,,,,40,10,35,25,40,15,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_18,analyst,,,,,,,,,,,,,,,,,,,,,,,,40,25,20,40,15,40,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_19,developer,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_19,analyst,,,,,,40,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_20,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,30,25,40,35,,,,,,,,,,,,,,,
Person_06,Project_20,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,10,25,,,,,,,,,,,,,,,
Person_02,Project_20,manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,10,40,40,40,,,,,,,,,,,,,,,
Person_10,Project_21,developer,,,,,,,,,,,,,,,,,,,,,,,,35,10,20,40,40,40,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_21,developer,,,,,,,,,,,,,,,,,,,,,,,,30,35,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_21,analyst,,,,,,,,,,,,,,,,,,,,,,,,40,25,40,40,10,20,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_22,developer,,,,,,,,,,,,10,15,15,20,35,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_22,developer,,,,,,,,,,,,15,40,20,35,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_21,Project_22,analyst,,,,,,,,,,,,20,40,40,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_23,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,40,10,40,40,,,,,,,,,,,,,,,,,,
Person_16,Project_23,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,35,40,20,,,,,,,,,,,,,,,,,,
Person_01,Project_23,manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,40,25,30,,,,,,,,,,,,,,,,,,
Person_08,Project_24,developer,,,,,,,,,,,,,,,,,,,,,,,,30,40,40,30,40,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_24,developer,,,,,,,,,,,,,,,,,,,,,,,,15,30,15,10,40,,,,,,,,,,,,,,,,,,,,,,,,
Person_21,Project_24,analyst,,,,,,,,,,,,,,,,,,,,,,,,40,40,30,10,30,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_25,developer,,,,,,,,,,,,,,15,40,40,40,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_25,developer,,,,,,,,,,,,,,40,40,15,35,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_25,analyst,,,,,,,,,,,,,,20,40,25,35,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_26,developer,,,,,,,,,,,,,,,,,,40,15,15,40,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_26,developer,,,,,,,,,,,,,,,,,,40,40,40,40,20,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_23,Project_26,analyst,,,,,,,,,,,,,,,,,,40,40,40,40,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
