Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_16,Project_01,developer,,40,40,15,35,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_01,developer,,40,40,30,30,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_01,analyst,,15,40,40,40,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_02,developer,,,,,,,,,,,,,,,,,,,40,35,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_02,developer,,,,,,,,,,,,,,,,,,,40,40,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_02,analyst,,,,,,,,,,,,,,,,,,,20,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_03,developer,,,,,,,,,,,,,,,,,,,,40,40,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_03,developer,,,,,,,,,,,,,,,,,,,,25,40,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_03,analyst,,,,,,,,,,,,,,,,,,,,20,25,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_04,developer,,,,,,40,40,25,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_04,developer,,,,,,20,25,15,10,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_21,Project_04,analyst,,,,,,40,40,20,40,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_05,developer,,,,,,,,,,,,,,,,,,,,,,,,25,30,20,35,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_05,developer,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,20,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_05,manager,,,,,,,,,,,,,,,,,,,,,,,,40,20,40,35,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_06,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,40,25,,,,,,,,,,,,
Person_07,Project_06,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,25,40,40,,,,,,,,,,,,
Person_20,Project_06,analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,25,,,,,,,,,,,,
Person_15,Project_07,developer,,,,,,40,25,40,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_24,Project_07,analyst,,,,,,40,40,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_08,developer,,,,,,,,,,,,,,,,,,,,,,,,40,30,40,25,40,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_08,developer,,,,,,,,,,,,,,,,,,,,,,,,35,20,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,
Person_23,Project_08,analyst,,,,,,,,,,,,,,,,,,,,,,,,30,40,40,40,15,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_09,developer,,,,,,,,,,,,,,,,,,35,40,40,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_09,developer,,,,,,,,,,,,,,,,,,30,35,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_09,manager,,,,,,,,,,,,,,,,,,30,40,40,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_10,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,30,15,,,,,,,,,,,,,,,,,,,,
Person_12,Project_10,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,35,25,40,,,,,,,,,,,,,,,,,,,,
Person_04,Project_10,manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,20,40,,,,,,,,,,,,,,,,,,,,
Person_15,Project_11,developer,,,,,,,,,,,,25,10,40,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_11,developer,,,,,,,,,,,,20,30,40,35,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_11,manager,,,,,,,,,,,,40,25,40,35,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_11,developer,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_12,developer,,,,,,40,25,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_12,developer,,,,,,15,20,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_12,analyst,,,,,,40,15,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_13,developer,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,40,40,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_13,developer,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,15,40,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_13,analyst,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,30,40,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_14,developer,,,,,,,,,,,,,,,,,,20,35,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_14,developer,,,,,,,,,,,,,,,,,,10,40,40,25,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_23,Project_14,analyst,,,,,,,,,,,,,,,,,,40,10,25,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_15,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,15,25,,,,,,,,,,,,,,,,
Person_07,Project_15,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,10,25,35,,,,,,,,,,,,,,,,
Person_02,Project_15,manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,25,10,40,,,,,,,,,,,,,,,,
Person_16,Project_16,developer,,,,,,,,30,40,15,25,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_16,developer,,,,,,,,15,40,40,20,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_16,analyst,,,,,,,,25,40,10,25,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_17,developer,,,,,,30,40,20,25,20,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_17,developer,,,,,,40,30,40,35,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_17,analyst,,,,,,15,15,25,40,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_18,developer,,,,,,,,,,,,,,,,,,,,,,,,35,35,10,15,40,40,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_18,developer,,,,,,,,,,,,,,,,,,,,,,,,30,40,20,20,15,40,,,,,,,,,,,,,,,,,,,,,,,
Person_24,Project_18,analyst,,,,,,,,,,,,,,,,,,,,,,,,10,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_19,developer,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,10,40,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_19,developer,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,10,15,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Project_19,manager,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,15,40,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_20,developer,,,,,,,,,,,,,,,,15,40,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_20,developer,,,,,,,,,,,,,,,,10,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_20,analyst,,,,,,,,,,,,,,,,40,40,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_21,developer,,,,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_21,developer,,,,,,,,,,,,,,10,10,,20,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_21,manager,,,,,,,,,,,,,,40,40,10,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_21,developer,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
