Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_03,Core_01,Manager,s,,,,,,,,,,,,,,,,,,,40,40,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_02,Core_01,Developer,s,,,,,,,,,,,,,,,,,,,40,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_01,Core_01,Analyst,s,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_03,Core_02,Manager,s,,,,,,,,,,,,,,,,,,,40,15,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_02,Core_02,Developer,s,,,,,,,,,,,,,,,,,,,20,15,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_01,Core_02,Analyst,s,,,,,,,,,,,,,,,,,,,30,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_03,Core_03,Manager,s,,,,,,,,,,,,,,,,,,,40,30,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_02,Core_03,Developer,s,,,,,,,,,,,,,,,,,,,20,30,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_01,Core_03,Analyst,s,,,,,,,,,,,,,,,,,,,40,40,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_03,Core_04,Manager,s,,,,,,,,,,,,,,,,,,,25,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_02,Core_04,Developer,s,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_01,Core_04,Analyst,s,,,,,,,,,,,,,,,,,,,40,35,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_03,Core_05,Manager,s,,,,,,,,,,,,,,,,,,,40,40,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_02,Core_05,Developer,s,,,,,,,,,,,,,,,,,,,10,30,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_01,Core_05,Analyst,s,,,,,,,,,,,,,,,,,,,40,10,15,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_03,Core_06,Manager,s,,,,,,,,,,,,,,,,,,,15,40,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_02,Core_06,Developer,s,,,,,,,,,,,,,,,,,,,30,35,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_01,Core_06,Analyst,s,,,,,,,,,,,,,,,,,,,35,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_04,Bench_Person_04,Analyst,,,,s,20,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Bench_Person_05,Developer,,,,s,40,10,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Bench_Person_06,Manager,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Bench_Person_07,Analyst,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Bench_Person_08,Developer,,,,s,20,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Bench_Person_09,Manager,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Bench_Person_10,Analyst,,,,s,10,15,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Bench_Person_11,Developer,,,,s,40,30,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Bench_Person_12,Manager,,,,s,30,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Bench_Person_13,Analyst,,,,s,30,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Bench_Person_14,Developer,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Bench_Person_15,Manager,,,,s,35,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Bench_Person_16,Analyst,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Bench_Person_17,Developer,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Bench_Person_18,Manager,,,,s,25,35,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Bench_Person_19,Analyst,,,,s,10,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Bench_Person_20,Developer,,,,s,10,35,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
