Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_15,Project_001,Manager,,,,,,,,,,,,,,,,,s,40,40,40,40,40,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_001,Analyst,,,,,,,,,,,,,,,,,s,,40,40,40,40,40,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_001,Manager,,,,,,,,,,,,,,,,,s,,40,40,40,40,40,40,40,,,e,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_001,Developer,,,,,,,,,,,,,,,,,s,,,40,40,40,40,40,40,,,e,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_001,Developer,,,,,,,,,,,,,,,,,s,,40,40,40,40,40,40,40,,,e,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_002,Developer,,,,,,,,,,,,,,,,,,,,,,,,,s,40,40,40,40,40,40,40,40,40,e,,,,,,,,,,,,,,,,,
Person_19,Project_002,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,s,,,40,40,40,40,40,40,,e,,,,,,,,,,,,,,,,,
Person_04,Project_002,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,40,40,40,40,40,,e,,,,,,,,,,,,,,,,,
Person_17,Project_002,Developer,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,40,40,40,40,40,e,,,,,,,,,,,,,,,,,
Person_09,Project_003,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,40,40,40,40,40,40,40,,,,,,,e,,,,,,,,,
Person_02,Project_003,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,40,40,40,40,40,,,,,,,,e,,,,,,,,,
Person_18,Project_003,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,40,40,40,40,40,,,,,,,e,,,,,,,,,
Person_14,Project_004,Developer,,,,,,,,,,,,,,s,,,40,40,40,40,40,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_004,Developer,,,,,,,,,,,,,,s,,,40,40,,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_004,Manager,,,,,,,,,,,,,,s,,,,,40,40,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_004,Developer,,,,,,,,,,,,,,s,,,40,40,40,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_004,Developer,,,,,,,,,,,,,,s,,,,40,40,40,40,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_005,Developer,,,,,,,,,,,,,,,,,,s,40,40,40,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_005,Manager,,,,,,,,,,,,,,,,,,s,40,40,40,40,40,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_005,Developer,,,,,,,,,,,,,,,,,,s,,,,,,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_005,Developer,,,,,,,,,,,,,,,,,,s,,,,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_005,Analyst,,,,,,,,,,,,,,,,,,s,40,40,40,40,40,40,,,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_006,Developer,s,,,,,40,40,40,40,40,40,40,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_006,Analyst,s,,,,,40,40,40,,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
