Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Dev_01,ProjectA_01,developer,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectA_01,analyst,,,,,,,,,,,,,,,,,,s,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectA_01,manager,,,,,,,,,,,,,,,,,,s,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_02,developer,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_02,ProjectA_02,analyst,,,,,,,,,,,,,,,,,,s,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectA_02,manager,,,,,,,,,,,,,,,,,,s,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_03,developer,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectA_03,analyst,,,,,,,,,,,,,,,,,,s,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectA_03,manager,,,,,,,,,,,,,,,,,,s,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_04,developer,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_04,ProjectA_04,analyst,,,,,,,,,,,,,,,,,,s,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectA_04,manager,,,,,,,,,,,,,,,,,,s,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectA_05,developer,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectA_05,analyst,,,,,,,,,,,,,,,,,,s,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
