Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Dev_01,ProjectB_W20_01,developer,,,,,,,,,,,,,,,,,,s,,10,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_04,ProjectB_W20_01,developer,,,,,,,,,,,,,,,,,,s,40,,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectB_W20_01,analyst,,,,,,,,,,,,,,,,,,s,30,30,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W20_01,manager,,,,,,,,,,,,,,,,,,s,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_02,developer,,,,,,,,,,,,,,,,,,s,,20,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_05,ProjectB_W20_02,developer,,,,,,,,,,,,,,,,,,s,40,,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_02,ProjectB_W20_02,analyst,,,,,,,,,,,,,,,,,,s,25,40,25,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectB_W20_02,manager,,,,,,,,,,,,,,,,,,s,40,25,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_03,developer,,,,,,,,,,,,,,,,,,s,,10,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_06,ProjectB_W20_03,developer,,,,,,,,,,,,,,,,,,s,20,,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectB_W20_03,analyst,,,,,,,,,,,,,,,,,,s,15,35,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W20_03,manager,,,,,,,,,,,,,,,,,,s,30,35,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_04,developer,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_07,ProjectB_W20_04,developer,,,,,,,,,,,,,,,,,,s,40,,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_04,ProjectB_W20_04,analyst,,,,,,,,,,,,,,,,,,s,10,15,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectB_W20_04,manager,,,,,,,,,,,,,,,,,,s,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_05,developer,,,,,,,,,,,,,,,,,,s,,15,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_08,ProjectB_W20_05,developer,,,,,,,,,,,,,,,,,,s,40,,30,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_05,ProjectB_W20_05,analyst,,,,,,,,,,,,,,,,,,s,25,40,15,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W20_05,manager,,,,,,,,,,,,,,,,,,s,10,35,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_06,developer,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_03,ProjectB_W20_06,developer,,,,,,,,,,,,,,,,,,s,40,,15,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectB_W20_06,analyst,,,,,,,,,,,,,,,,,,s,35,40,25,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectB_W20_06,manager,,,,,,,,,,,,,,,,,,s,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_07,developer,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_04,ProjectB_W20_07,developer,,,,,,,,,,,,,,,,,,s,35,,30,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_02,ProjectB_W20_07,analyst,,,,,,,,,,,,,,,,,,s,30,25,35,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W20_07,manager,,,,,,,,,,,,,,,,,,s,20,15,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_08,developer,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_05,ProjectB_W20_08,developer,,,,,,,,,,,,,,,,,,s,40,,20,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectB_W20_08,analyst,,,,,,,,,,,,,,,,,,s,40,20,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectB_W20_08,manager,,,,,,,,,,,,,,,,,,s,40,25,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_01,ProjectB_W20_09,developer,,,,,,,,,,,,,,,,,,s,,30,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_06,ProjectB_W20_09,developer,,,,,,,,,,,,,,,,,,s,40,,30,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_04,ProjectB_W20_09,analyst,,,,,,,,,,,,,,,,,,s,20,10,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W20_09,manager,,,,,,,,,,,,,,,,,,s,40,15,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_02,ProjectB_W27_01,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,,15,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_05,ProjectB_W27_01,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,40,,40,e,,,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectB_W27_01,analyst,,,,,,,,,,,,,,,,,,,,,,,,,s,35,40,15,e,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W27_01,manager,,,,,,,,,,,,,,,,,,,,,,,,,s,15,40,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_02,ProjectB_W27_02,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_06,ProjectB_W27_02,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,40,,40,e,,,,,,,,,,,,,,,,,,,,,,,
Ana_04,ProjectB_W27_02,analyst,,,,,,,,,,,,,,,,,,,,,,,,,s,10,10,25,e,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectB_W27_02,manager,,,,,,,,,,,,,,,,,,,,,,,,,s,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_02,ProjectB_W27_03,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,,20,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_07,ProjectB_W27_03,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,35,,40,e,,,,,,,,,,,,,,,,,,,,,,,
Ana_05,ProjectB_W27_03,analyst,,,,,,,,,,,,,,,,,,,,,,,,,s,10,40,40,e,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W27_03,manager,,,,,,,,,,,,,,,,,,,,,,,,,s,35,15,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_02,ProjectB_W27_04,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,,15,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_08,ProjectB_W27_04,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,40,,40,e,,,,,,,,,,,,,,,,,,,,,,,
Ana_01,ProjectB_W27_04,analyst,,,,,,,,,,,,,,,,,,,,,,,,,s,40,15,40,e,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectB_W27_04,manager,,,,,,,,,,,,,,,,,,,,,,,,,s,25,40,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_02,ProjectB_W27_05,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_09,ProjectB_W27_05,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,40,,15,e,,,,,,,,,,,,,,,,,,,,,,,
Ana_02,ProjectB_W27_05,analyst,,,,,,,,,,,,,,,,,,,,,,,,,s,30,40,40,e,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W27_05,manager,,,,,,,,,,,,,,,,,,,,,,,,,s,40,10,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_02,ProjectB_W27_06,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_10,ProjectB_W27_06,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,40,,40,e,,,,,,,,,,,,,,,,,,,,,,,
Ana_03,ProjectB_W27_06,analyst,,,,,,,,,,,,,,,,,,,,,,,,,s,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,
Mgr_02,ProjectB_W27_06,manager,,,,,,,,,,,,,,,,,,,,,,,,,s,35,25,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_02,ProjectB_W27_07,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,,35,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_04,ProjectB_W27_07,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,40,,40,e,,,,,,,,,,,,,,,,,,,,,,,
Ana_04,ProjectB_W27_07,analyst,,,,,,,,,,,,,,,,,,,,,,,,,s,25,40,40,e,,,,,,,,,,,,,,,,,,,,,,,
Mgr_01,ProjectB_W27_07,manager,,,,,,,,,,,,,,,,,,,,,,,,,s,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_02,ProjectB_W27_08,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,,40,,e,,,,,,,,,,,,,,,,,,,,,,,
Dev_05,ProjectB_W27_08,developer,,,,,,,,,,,,,,,,,,,,,,,,,s,20,,20,e,,,,,,,,,,,,,,,,,,,,,,,
Ana_05,ProjectB_W27_08,analyst,,,,,,,,,,,,,,,,,,,,,,,,,s,25,40,40,e,,,,,,,,,,,,,,,,,,,,,,,
