Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_10,Project_01,developer,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_05,Project_01,developer,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_17,Project_01,analyst,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_11,Project_02,developer,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_06,Project_02,developer,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_01,Project_02,manager,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_14,Project_03,developer,s,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_07,Project_03,developer,s,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_24,Project_03,analyst,s,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_05,Project_04,developer,s,40,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_04,developer,s,40,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_04,manager,s,40,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_05,developer,s,40,40,40,40,40,40,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_05,developer,s,40,40,40,40,40,40,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_21,Project_05,analyst,s,40,40,40,40,40,40,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_06,developer,s,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_05,Project_06,developer,s,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_22,Project_06,analyst,s,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_09,Project_07,developer,,,,,,,s,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_07,developer,,,,,,,s,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_07,manager,,,,,,,s,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_08,developer,,,,,,,,,,,,,,s,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,e,,,,
Person_09,Project_08,developer,,,,,,,,,,,,,,s,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,e,,,,
Person_21,Project_08,analyst,,,,,,,,,,,,,,s,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,e,,,,
Person_13,Project_09,developer,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_08,Project_09,developer,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_18,Project_09,analyst,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_06,Project_10,developer,s,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_12,Project_10,developer,s,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_04,Project_10,manager,s,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_11,Project_11,developer,s,40,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_11,developer,s,40,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_11,manager,s,40,40,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_12,developer,s,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_13,Project_12,developer,s,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_19,Project_12,analyst,s,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_10,Project_13,developer,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_03,Project_13,manager,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_16,Project_14,developer,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_14,Project_14,developer,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_19,Project_14,analyst,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_15,Project_15,developer,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_08,Project_15,developer,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_23,Project_15,analyst,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_08,Project_16,developer,,,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,
Person_05,Project_16,developer,,,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,
Person_01,Project_16,manager,,,s,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,
Person_11,Project_17,developer,s,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_14,Project_17,developer,s,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_02,Project_17,manager,s,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_14,Project_18,developer,,,,,,,,,,,,,,,,,s,,40,40,40,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_18,developer,,,,,,,,,,,,,,,,,s,,40,40,40,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_18,analyst,,,,,,,,,,,,,,,,,s,,40,40,40,40,40,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_19,developer,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_12,Project_19,developer,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_23,Project_19,analyst,s,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_11,Project_20,developer,,,,,,s,,40,40,40,40,40,40,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_20,developer,,,,,,s,,40,40,40,40,40,40,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_20,analyst,,,,,,s,,40,40,40,40,40,40,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_21,developer,s,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_16,Project_21,developer,s,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_24,Project_21,analyst,s,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_10,Project_22,developer,s,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_15,Project_22,developer,s,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_18,Project_22,analyst,s,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
