Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_10,Project_01,developer,s,,,,,,,,,,,,,,,,,,,,,40,25,40,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_05,Project_01,developer,s,,,,,,,,,,,,,,,,,,,,,25,20,40,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_17,Project_01,analyst,s,,,,,,,,,,,,,,,,,,,,,20,10,40,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_11,Project_02,developer,s,,,,,,,,,,,,,,,,,,,,,10,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_06,Project_02,developer,s,,,,,,,,,,,,,,,,,,,,,40,40,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_01,Project_02,manager,s,,,,,,,,,,,,,,,,,,,,,30,15,40,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_14,Project_03,developer,s,,,,,40,30,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_07,Project_03,developer,s,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_24,Project_03,analyst,s,,,,,35,25,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_05,Project_04,developer,s,20,35,40,40,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_04,developer,s,40,10,25,10,30,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_04,manager,s,40,40,40,35,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
