Person,Project,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_02,Project_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,
Person_02,Project_003,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_016,,,,,,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_033,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,
Person_02,Project_036,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_046,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,
Person_02,Project_056,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,
Person_06,Project_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,
Person_06,Project_031,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_048,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,
Person_06,Project_057,,,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,
Person_13,Project_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,
Person_13,Project_021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,
Person_13,Project_026,,,,,,,,,,,,,,,,,,,,,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_033,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,
Person_13,Project_041,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_044,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,
Person_13,Project_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,
Person_13,Project_056,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,
Person_18,Project_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,
Person_18,Project_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_017,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_022,,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_024,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_036,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_040,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,,,,
Person_18,Project_061,,,,,,,,,,,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_21,Project_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,,,,,,
