Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_20,Project_001,Developer,,,,,,s,,,,,40,,,,40,,,40,,,,,,,,,,,,,40,,,40,,,,,,,,,,,e,,,,,,,
Person_14,Project_001,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,40,40,e,,,,
Person_12,Project_002,Manager,,,,s,,,,,,,,,,,,,,,40,,,,40,,40,,,,40,,,,,,,,,,,,,40,,,,,,,40,e,,
Person_09,Project_003,Manager,,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_004,Developer,,,s,,40,,,,,,,,,,,,,,,,,,,40,,,,40,,,,,40,,,40,,,,,,,,,,,,,e,,,
Person_19,Project_004,Analyst,,s,40,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,40,,,,e,,,,,,,
Person_01,Project_004,Analyst,,,,,,,,,,,,,,,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_004,Developer,,,,,,,s,40,40,,,,,,,,,,,,,,,40,,,,,,,,,40,,,,40,,,,e,,,,,,,,,,,
Person_08,Project_005,Developer,,,,,,,,,,s,,,40,,,40,40,,,,,,40,40,,,,40,,,,,,,,,,,40,e,,,,,,,,,,,,
Person_04,Project_005,Analyst,,,,,s,,,,,,,,40,40,,,,,,,,40,,,,,,,,40,,,,,,,,,,,,,,,,,,e,,,,
Person_05,Project_005,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,40,40,e,,,,,,,,,,,,
Person_12,Project_006,Manager,,,s,,,40,,40,,40,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,,
Person_14,Project_006,Developer,,,s,,,,,,40,40,,,40,,40,,,,,,,,,,,,,,,,,,,,,40,,,,,,e,,,,,,,,,,
Person_02,Project_006,Developer,,,,,s,,,,,,,,,,40,,,,,,,40,,,,40,,,,,,,,,,40,,,,,,,,,,,40,e,,,,
Person_06,Project_007,Manager,,,,,,,,s,,,,,,,,,,40,,,,40,40,,,,,40,40,,,,,,,,40,,,,e,,,,,,,,,,,
Person_02,Project_007,Developer,,,,,,,,,,,,s,40,,,40,,,,40,,,,,,,,40,,,,40,,,,,,,,,,,,,,e,,,,,,
Person_15,Project_008,Manager,,,,,,,,,,s,,,40,40,,,,,,,,,,,40,,,,40,,40,,,,,,40,,,,e,,,,,,,,,,,
Person_08,Project_009,Developer,,s,,,,,,,,40,,,,,,,,,,,,,,40,,,,,,,40,,,,40,,,,,,,e,,,,,,,,,,
Person_15,Project_009,Manager,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_009,Developer,,,,,,,,,,,s,40,,,,,,,,40,,,,,,,,,40,,,,,,40,,,,,40,,,,,,,,,40,,e,
Person_12,Project_010,Manager,,,,,,,,,,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_011,Manager,,,,,,,,,,,s,,,40,,,,,,,,40,,,,,40,,40,,40,,,,,,,,,,,,,,,e,,,,,,
Person_15,Project_011,Manager,,,,,,,s,,,,,,,,,,,,,,,40,40,,40,,40,,,,,,,,,,,,,,,40,,e,,,,,,,,
Person_13,Project_012,Analyst,s,,,,,,,,,,40,,,,40,,,,40,,,,,,,,,,,,40,,,,,,,,,,40,,,40,,,40,,,e,,
Person_09,Project_012,Manager,,,,,,,,,,,,,s,,,40,,,,40,,,,,,,,40,,,,,,,40,,,,,,,,40,,,,e,,,,,
Person_02,Project_013,Developer,,,,,,,,,,,,s,,,,,,,,,40,,,,,,,,,,,,,,40,,,,,40,,40,,,,,,,e,,,
Person_03,Project_013,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,40,40,e,,,,,,,,,,,,,,,,
Person_19,Project_014,Analyst,,,,,,,,,,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_014,Manager,,s,,,,,40,40,40,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,e,,,
Person_01,Project_015,Analyst,,s,,,,,40,,,,40,,,,,,,40,,,,,,,40,,,,,,,,,,,,,,,,,40,,,,,e,,,,,
Person_01,Project_016,Analyst,,,,,,,,s,,,40,,,,,40,,,,,,,,,40,,,,,,,,,,,,40,,,,,,40,,,,,,40,e,,
Person_01,Project_017,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,40,40,e,,,,,,,,
Person_15,Project_017,Manager,,,,,s,,,,,,,,40,,,,,,,40,,,,40,40,,,,,,,,,40,,,40,,,,40,,,e,,,,,,,,
Person_03,Project_017,Manager,,,,,,,,,,,,s,,,,,,,,,,,,,,,,40,,,40,,,40,,,,,,,,,,40,,,40,,,,e,
Person_11,Project_018,Developer,,,,,,,,,,,s,,40,40,,,,,40,,,,40,,,40,,,,,,,40,,,40,,,,e,,,,,,,,,,,,
Person_09,Project_018,Manager,s,,,,40,,,,,40,,,,40,,,40,,,,,,,,,,,,,,,,,,,,40,,40,,,,40,,,,,e,,,,
Person_03,Project_019,Manager,,,,,,,,,s,,,,,,,,,,,,,,,,40,,,40,,,,,,,,,40,,40,40,,,40,40,,,e,,,,,
Person_05,Project_019,Developer,,,s,,,,40,,40,,,,,,40,,,,,,,40,40,40,,,,,,,,,,,,,40,,,,e,,,,,,,,,,,
Person_04,Project_019,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,40,40,e,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_019,Manager,s,,,,,,,,,,,,,40,40,,,,,,,,,,,,,,,,40,,,,40,,,40,,,,,,,,e,,,,,,
Person_05,Project_020,Developer,,,,,,,,,s,,,,,,,40,40,,,,,,,,,,,,,40,40,,,40,,,,40,,,e,,,,,,,,,,,
Person_12,Project_020,Manager,s,,,40,,,,40,,,,40,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,e,,,,,,
Person_07,Project_021,Analyst,,,,s,,,,,,,,,,,,,40,,,40,,,,,,,,,,40,,,,,,40,,40,,,,,,,,,,,e,,,
Person_03,Project_021,Manager,,,,,,,,,,,,,s,,,,,,,,,,,,,40,,,,40,,,,40,,,,,,40,,,,,,40,,,e,,,
Person_09,Project_022,Manager,,,,,,s,40,,,,40,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,,,,,,e,,,,
Person_14,Project_022,Developer,s,,,,,,,,,40,,40,,,,,,,,,,,40,40,,,,,,,,,40,,,,,,,40,,,,,,e,,,,,,
Person_11,Project_023,Developer,,,s,,,,,,,,,,40,,,,,,,,,,,,40,,40,,,,,,40,,40,,,,,40,40,,,,,,,,,,e,
Person_12,Project_023,Manager,,,,,,,,,s,,40,,,40,,,,,40,,40,40,,,,40,,,,,40,,,,,,,,,,,e,,,,,,,,,,
Person_04,Project_024,Analyst,,,,,s,,,,,,40,,,,,,,,,,,,,,,,,,40,40,,,,,,40,40,40,,40,e,,,,,,,,,,,
Person_02,Project_024,Developer,,,,,,,s,,40,,,40,,,,40,,,,,,40,,40,,,,,,,,,,,,,,,40,,,,,,,,,e,,,,
Person_20,Project_024,Developer,,s,,,,,,,,,,40,40,,,,,,40,,,,,,,,,40,,,,,,40,,,,,,,,,,,,,,,e,,,
Person_17,Project_025,Developer,,,,,,s,,40,,,,,,40,,,40,,40,,,,,,40,,,,40,,,,,,,40,,,,,,,,,,e,,,,,,
Person_11,Project_025,Developer,,s,40,,40,,40,,,,,,,,40,,,,,,,,,,,,,,,40,,40,,,,,,,,,,,,,,,e,,,,,
