Person,Project,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_02,Project_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,,e,,,,,,,,,,,
Person_06,Project_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,,e,,,,,,,,,,,
Person_13,Project_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,,e,,,,,,,,,,,
Person_18,Project_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,,,e,,,,,
Person_21,Project_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,,,e,,,,,
Person_02,Project_003,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_003,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_003,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_25,Project_004,,,,s,,,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_004,,,,s,,,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_25,Project_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,,e,,,
Person_12,Project_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,,e,,,
Person_14,Project_006,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_25,Project_006,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_006,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_21,Project_007,,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,
Person_05,Project_008,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_008,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_009,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,,e,,,
Person_10,Project_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,,e,,,
Person_19,Project_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,,e,,,
Person_18,Project_011,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,
Person_07,Project_011,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,
Person_14,Project_011,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,
Person_13,Project_012,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,
Person_03,Project_012,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,
Person_15,Project_012,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,
Person_23,Project_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,,,e,,,,,,
Person_19,Project_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,,,e,,,,,,
Person_03,Project_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,,,e,,,,,,
Person_24,Project_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,,,e,,,,,,
Person_16,Project_014,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_014,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,
Person_02,Project_016,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_21,Project_016,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_017,,,,,,,,,,s,,,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_017,,,,,,,,,,s,,,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_017,,,,,,,,,,s,,,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
